customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,account.Charges.Monthly,account.Charges.Total,Contas_Diarias
0002-ORFBO,False,female,0,yes,yes,9,yes,no,dsl,no,yes,no,yes,yes,no,one year,yes,mailed check,65.6,593.3,2.19
0003-MKNFE,False,male,0,no,no,9,yes,yes,dsl,no,no,no,no,no,yes,month-to-month,no,mailed check,59.9,542.4,2.0
0004-TLHLJ,True,male,0,no,no,4,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,73.9,280.85,2.46
0011-IGKFF,True,male,1,yes,no,13,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,98.0,1237.85,3.27
0013-EXCHZ,True,female,1,yes,no,3,yes,no,fiber optic,no,no,no,yes,yes,no,month-to-month,yes,mailed check,83.9,267.4,2.8
0013-MHZWF,False,female,0,no,yes,9,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,credit card (automatic),69.4,571.45,2.31
0013-SMEOE,False,female,1,yes,no,71,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),109.7,7904.25,3.66
0014-BMAQU,False,male,0,yes,no,63,yes,yes,fiber optic,yes,no,no,yes,no,no,two year,yes,credit card (automatic),84.65,5377.8,2.82
0015-UOCOJ,False,female,1,no,no,7,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,48.2,340.35,1.61
0016-QLJIS,False,female,0,yes,yes,65,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,mailed check,90.45,5957.9,3.02
0017-DINOC,False,male,0,no,no,54,no,no phone service,dsl,yes,no,no,yes,yes,no,two year,no,credit card (automatic),45.2,2460.55,1.51
0017-IUDMW,False,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),116.8,8456.75,3.89
0018-NYROU,False,female,0,yes,no,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,68.95,351.5,2.3
0019-EFAEP,False,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,no,yes,no,two year,yes,bank transfer (automatic),101.3,7261.25,3.38
0019-GFNTW,False,female,0,no,no,56,no,no phone service,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),45.05,2560.1,1.5
0020-INWCK,False,female,0,yes,yes,71,yes,yes,fiber optic,no,yes,yes,no,no,yes,two year,yes,credit card (automatic),95.75,6849.4,3.19
0020-JDNXP,False,female,0,yes,yes,34,no,no phone service,dsl,yes,no,yes,yes,yes,yes,one year,no,mailed check,61.25,1993.2,2.04
0021-IKXGC,False,female,1,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,72.1,72.1,2.4
0022-TCJCI,True,male,1,no,no,45,yes,no,dsl,yes,no,yes,no,no,yes,one year,no,credit card (automatic),62.7,2791.5,2.09
0023-HGHWL,True,male,1,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,25.1,25.1,0.84
0023-UYUPN,False,female,1,yes,no,50,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,25.2,1306.3,0.84
0023-XUOPT,True,female,0,yes,no,13,yes,yes,fiber optic,no,yes,yes,no,yes,no,month-to-month,no,electronic check,94.1,1215.6,3.14
0027-KWYKW,False,female,0,yes,yes,23,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,83.75,1849.95,2.79
0030-FNXPP,False,female,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.85,57.2,0.66
0031-PVLZI,True,female,0,yes,yes,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.35,76.35,0.68
0032-PGELS,True,female,0,yes,yes,1,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,no,bank transfer (automatic),30.5,30.5,1.02
0036-IHMOT,False,female,0,yes,yes,55,yes,no,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),103.7,5656.75,3.46
0040-HALCW,False,male,0,yes,yes,54,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),20.4,1090.6,0.68
0042-JVWOJ,False,male,0,no,no,26,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),19.6,471.85,0.65
0042-RLHYP,False,female,0,yes,yes,69,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.7,1396.9,0.66
0047-ZHDTW,,female,0,no,no,11,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),79.0,929.3,2.63
0048-LUMLS,False,male,0,yes,yes,37,yes,no,fiber optic,no,no,no,no,yes,yes,one year,no,credit card (automatic),91.2,3247.55,3.04
0048-PIHNL,False,female,0,yes,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),20.45,900.9,0.68
0052-DCKON,False,male,0,yes,no,66,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,bank transfer (automatic),115.8,7942.15,3.86
0052-YNYOT,False,female,0,no,no,67,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,20.55,1343.4,0.68
0056-EPFBG,False,male,0,yes,yes,20,no,no phone service,dsl,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),39.4,825.4,1.31
0057-QBUQH,False,female,0,no,yes,43,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,electronic check,25.1,1070.15,0.84
0058-EVZWM,False,female,0,yes,no,55,yes,yes,fiber optic,yes,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.8,4959.6,2.99
0060-FUALY,False,female,0,yes,no,59,yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,94.75,5597.65,3.16
0064-SUDOG,False,female,0,yes,yes,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),20.3,224.5,0.68
0064-YIJGF,False,male,0,yes,yes,27,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.75,1929,2.52
0067-DKWBL,True,male,1,no,no,2,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,49.25,91.1,1.64
0068-FIGTF,False,female,0,no,no,27,yes,no,dsl,no,yes,yes,yes,yes,yes,one year,no,mailed check,78.2,2078.95,2.61
0071-NDAFP,False,male,0,yes,yes,25,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.5,630.6,0.85
0074-HDKDG,False,male,0,yes,yes,25,yes,no,dsl,yes,yes,yes,no,no,no,one year,yes,bank transfer (automatic),61.6,1611,2.05
0076-LVEPS,False,male,0,no,yes,29,no,no phone service,dsl,yes,yes,yes,yes,no,no,month-to-month,yes,mailed check,45.0,1242.45,1.5
0078-XZMHT,False,male,0,yes,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),85.15,6316.2,2.84
0080-EMYVY,False,female,0,no,no,14,yes,no,dsl,no,yes,no,no,no,no,one year,no,credit card (automatic),51.45,727.85,1.72
0080-OROZO,False,female,0,no,no,35,yes,no,fiber optic,no,no,yes,yes,yes,yes,one year,yes,electronic check,99.25,3532,3.31
0082-LDZUE,False,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,44.3,44.3,1.48
0082-OQIQY,False,male,0,no,no,29,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,94.2,2607.6,3.14
0083-PIVIK,False,male,0,no,no,64,yes,yes,dsl,yes,yes,yes,yes,yes,no,one year,no,electronic check,81.25,5567.55,2.71
0089-IIQKO,False,female,0,yes,yes,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,credit card (automatic),99.95,3767.4,3.33
0093-EXYQL,False,female,1,no,no,40,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,91.55,3673.6,3.05
0093-XWZFY,True,male,0,no,no,40,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),104.5,4036.85,3.48
0094-OIFMO,True,female,1,no,no,11,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,95.0,1120.3,3.17
0096-BXERS,False,female,0,yes,no,6,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,50.35,314.55,1.68
0096-FCPUF,False,male,0,no,no,30,yes,yes,dsl,yes,no,no,no,no,yes,month-to-month,yes,mailed check,64.5,1888.45,2.15
0098-BOWSO,False,male,0,no,no,27,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,19.4,529.8,0.65
0100-DUVFC,False,male,1,yes,no,70,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,electronic check,104.8,7308.95,3.49
0103-CSITQ,False,female,0,yes,no,57,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),109.4,6252.7,3.65
0104-PPXDV,False,male,0,yes,no,58,yes,no,dsl,no,no,yes,no,no,no,one year,no,credit card (automatic),50.3,2878.55,1.68
0106-GHRQR,False,male,0,no,no,16,yes,yes,dsl,no,yes,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),71.4,1212.1,2.38
0106-UGRDO,False,female,0,yes,no,69,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,116.0,8182.85,3.87
0107-WESLM,True,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,19.85,19.85,0.66
0107-YHINA,True,male,0,no,yes,1,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,99.75,99.75,3.32
0111-KLBQG,False,male,1,yes,yes,32,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,mailed check,93.95,2861.45,3.13
0112-QAWRZ,False,male,0,yes,yes,16,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,bank transfer (automatic),90.8,1442.2,3.03
0112-QWPNC,True,male,0,yes,no,49,yes,yes,dsl,yes,no,yes,yes,yes,yes,one year,no,electronic check,84.35,4059.35,2.81
0114-IGABW,False,female,0,yes,no,71,no,no phone service,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),58.25,4145.9,1.94
0114-PEGZZ,False,female,0,no,no,33,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,no,electronic check,107.55,3645.5,3.58
0114-RSRRW,False,female,0,yes,no,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),19.95,187.75,0.66
0115-TFERT,True,male,0,yes,no,21,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,111.2,2317.1,3.71
0117-LFRMW,True,male,0,yes,yes,37,no,no phone service,dsl,yes,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),40.2,1448.8,1.34
0118-JPNOY,False,female,1,no,no,26,yes,no,fiber optic,yes,no,no,no,yes,no,month-to-month,yes,credit card (automatic),85.8,2193.65,2.86
0120-YZLQA,,male,0,no,no,71,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),19.9,1355.1,0.66
0121-SNYRK,False,male,0,no,no,50,no,no phone service,dsl,yes,no,no,yes,no,no,one year,yes,mailed check,35.4,1748.9,1.18
0122-OAHPZ,True,female,0,no,no,7,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,73.85,511.25,2.46
0123-CRBRT,False,female,0,yes,yes,61,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,mailed check,88.1,5526.75,2.94
0125-LZQXK,True,male,0,no,no,15,yes,no,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,101.35,1553.95,3.38
0128-MKWSG,False,female,0,no,yes,26,no,no phone service,dsl,yes,no,no,yes,no,yes,month-to-month,no,mailed check,45.8,1147,1.53
0129-KPTWJ,False,male,0,yes,no,72,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,94.65,6747.35,3.16
0129-QMPDR,False,male,0,yes,yes,44,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),20.5,865.05,0.68
0130-SXOUN,False,male,0,no,no,66,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,no,credit card (automatic),89.4,5976.9,2.98
0133-BMFZO,True,female,0,no,no,2,yes,no,fiber optic,yes,yes,no,yes,no,no,month-to-month,yes,electronic check,86.25,181.65,2.88
0134-XWXCE,False,female,1,no,no,44,yes,no,dsl,no,no,yes,yes,yes,yes,one year,no,bank transfer (automatic),74.85,3268.05,2.49
0135-NMXAP,True,female,0,no,no,12,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.75,1052.4,2.99
0136-IFMYD,False,male,1,yes,no,69,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,electronic check,109.95,7634.25,3.66
0137-OCGAB,True,female,0,no,no,1,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,mailed check,80.2,80.2,2.67
0137-UDEUO,True,female,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.85,63.75,0.66
0139-IVFJG,False,female,0,yes,no,2,yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,no,electronic check,90.35,190.5,3.01
0141-YEAYS,False,female,1,no,no,27,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),86.45,2401.05,2.88
0142-GVYSN,False,male,0,no,no,26,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,20.3,511.25,0.68
0147-ESWWR,False,female,1,yes,no,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,101.25,3949.15,3.38
0148-DCDOS,True,male,0,no,no,25,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),94.7,2362.1,3.16
0151-ONTOV,True,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,70.9,70.9,2.36
0154-QYHJU,,male,0,no,no,29,yes,no,dsl,yes,yes,no,yes,no,no,one year,yes,electronic check,58.75,1696.2,1.96
0156-FVPTA,True,male,0,yes,no,22,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,yes,electronic check,54.2,1152.7,1.81
0162-RZGMZ,,female,1,no,no,5,yes,no,dsl,yes,yes,no,yes,no,no,month-to-month,no,credit card (automatic),59.9,287.85,2.0
0164-APGRB,False,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,114.9,8496.7,3.83
0164-XAIRP,False,female,0,no,no,24,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),19.55,470.2,0.65
0168-XZKBB,False,female,0,yes,no,19,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,86.85,1564.4,2.9
0174-QRVVY,False,male,0,yes,yes,71,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.35,1847.55,0.85
0177-PXBAT,False,male,1,yes,no,33,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),109.9,3694.7,3.66
0178-CIIKR,False,female,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.95,58,0.66
0178-SZBHO,False,male,0,yes,yes,47,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,no,electronic check,87.2,4017.45,2.91
0181-RITDD,False,male,0,yes,yes,62,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,mailed check,108.15,6825.65,3.6
0186-CAERR,False,male,0,no,no,71,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),116.3,8309.55,3.88
0187-QSXOE,False,male,1,yes,no,7,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,89.0,605.45,2.97
0187-WZNAB,False,female,0,yes,yes,27,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,mailed check,74.4,1972.35,2.48
0188-GWFLE,False,male,0,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.05,33.7,0.67
0191-EQUUH,False,female,0,no,yes,25,no,no phone service,dsl,yes,no,no,yes,no,no,two year,no,bank transfer (automatic),35.05,844.45,1.17
0191-ZHSKZ,False,male,1,no,no,30,yes,no,dsl,yes,yes,no,no,yes,yes,month-to-month,yes,electronic check,74.75,2111.3,2.49
0193-ESZXP,True,female,1,yes,no,58,yes,no,fiber optic,yes,yes,no,yes,yes,yes,one year,yes,credit card (automatic),105.5,6205.5,3.52
0195-IESCP,True,male,0,yes,no,10,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.25,855.3,2.84
0196-JTUQI,False,female,0,no,no,9,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),75.2,633.85,2.51
0196-VULGZ,True,female,1,yes,no,6,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,84.35,474.9,2.81
0197-PNKNK,False,female,0,yes,yes,69,yes,yes,fiber optic,yes,no,yes,no,no,no,one year,no,bank transfer (automatic),84.45,5848.6,2.82
0201-MIBOL,False,female,1,no,no,66,yes,yes,fiber optic,yes,no,no,no,yes,yes,two year,yes,bank transfer (automatic),102.4,6471.85,3.41
0201-OAMXR,True,female,0,no,no,70,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,credit card (automatic),115.55,8127.6,3.85
0203-HHYIJ,True,male,0,no,no,25,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer (automatic),25.3,676.35,0.84
0206-OYVOC,False,female,0,yes,yes,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.25,864.2,0.64
0206-TBWLC,False,female,0,yes,no,54,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,mailed check,114.65,6049.5,3.82
0207-MDKNV,True,female,0,no,no,15,yes,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,no,electronic check,105.1,1582.75,3.5
0208-BPQEJ,False,female,0,yes,yes,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),19.4,198.1,0.65
0212-ISBBF,False,female,0,no,no,22,no,no phone service,dsl,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,50.35,1098.85,1.68
